ticker;filing_day;filedAt;entry_datetime;entry_price;entry_price_news;entry_price_news_bot;insider_entry_price;ret_high_1d_open;ret_low_1d_open;ret_mean_1d_open;exit_high_1d_open_price;exit_low_1d_open_price;exit_mean_1d_open_price;mean_price_1d_open;ret_high_2d_open;ret_low_2d_open;ret_mean_2d_open;exit_high_2d_open_price;exit_low_2d_open_price;exit_mean_2d_open_price;mean_price_2d_open;ret_high_3d_open;ret_low_3d_open;ret_mean_3d_open;exit_high_3d_open_price;exit_low_3d_open_price;exit_mean_3d_open_price;mean_price_3d_open;ret_high_5d_open;ret_low_5d_open;ret_mean_5d_open;exit_high_5d_open_price;exit_low_5d_open_price;exit_mean_5d_open_price;mean_price_5d_open;ret_high_7d_open;ret_low_7d_open;ret_mean_7d_open;exit_high_7d_open_price;exit_low_7d_open_price;exit_mean_7d_open_price;mean_price_7d_open;ret_high_10d_open;ret_low_10d_open;ret_mean_10d_open;exit_high_10d_open_price;exit_low_10d_open_price;exit_mean_10d_open_price;mean_price_10d_open;ret_high_14d_open;ret_low_14d_open;ret_mean_14d_open;exit_high_14d_open_price;exit_low_14d_open_price;exit_mean_14d_open_price;mean_price_14d_open;ret_high_30d_open;ret_low_30d_open;ret_mean_30d_open;exit_high_30d_open_price;exit_low_30d_open_price;exit_mean_30d_open_price;mean_price_30d_open;ret_high_60d_open;ret_low_60d_open;ret_mean_60d_open;exit_high_60d_open_price;exit_low_60d_open_price;exit_mean_60d_open_price;mean_price_60d_open;ret_high_90d_open;ret_low_90d_open;ret_mean_90d_open;exit_high_90d_open_price;exit_low_90d_open_price;exit_mean_90d_open_price;mean_price_90d_open
WU;2024-02-28;2024-02-28T21:43:15-05:00;2024-02-29 09:30;13.25;13.14;13.14;12.8499;2.04;0.0;1.05;13.5203;13.25;13.3887;13.38875;4.87;0.0;1.81;13.8953;13.25;13.4904;13.490416666666667;5.26;0.0;2.37;13.9469;13.25;13.5636;13.5635625;6.45;0.0;3.15;14.1046;13.25;13.6667;13.666749999999999;7.07;0.0;3.88;14.1868;13.25;13.7646;13.764634375;7.07;-0.87;3.65;14.1868;13.1347;13.7334;13.733427272727273;7.07;-0.87;3.14;14.1868;13.1347;13.6665;13.666513333333333;7.07;-0.87;3.09;14.1868;13.1347;13.6599;13.659931666666665;7.07;-4.42;1.39;14.1868;12.6643;13.4338;13.433847083333335;7.07;-10.42;-0.78;14.1868;11.8694;13.1467;13.14671695402299
AMN;2024-02-28;2024-02-28T17:38:23-05:00;2024-02-29 09:30;57.03;58.6213;56.55;57.51981996418136;0.25;-3.28;-0.91;57.1726;55.1594;56.5113;56.511250000000004;2.52;-3.28;-0.38;58.4672;55.1594;56.8108;56.810833333333335;3.39;-3.28;-0.04;58.9633;55.1594;57.0059;57.0059375;6.22;-3.28;0.78;60.5773;55.1594;57.4731;57.473125;8.08;-3.28;2.09;61.638;55.1594;58.2205;58.22046875000001;8.08;-3.28;2.42;61.638;55.1594;58.4101;58.41011136363637;16.38;-3.28;4.15;66.3715;55.1594;59.3972;59.397248333333344;18.34;-3.28;5.31;67.4893;55.1594;60.0572;60.05724916666666;18.34;-7.07;3.7;67.4893;52.998;59.1415;59.14152333333334;18.34;-14.5;0.6;67.4893;48.7606;57.375;57.37495574712646
SPHR;2024-02-28;2024-02-28T20:33:30-05:00;2024-02-29 09:30;41.99;41.4;41.4;41.112554298177656;8.48;0.0;3.57;45.5508;41.99;43.4894;43.489374999999995;13.41;0.0;5.92;47.6209;41.99;44.4771;44.477083333333326;16.69;0.0;7.93;48.9981;41.99;45.3216;45.32156249999999;21.91;0.0;10.93;51.19;41.99;46.5784;46.57839999999999;23.43;0.0;12.39;51.8283;41.99;47.1921;47.192081249999994;23.43;0.0;13.07;51.8283;41.99;47.4763;47.476286363636355;23.43;0.0;12.89;51.8283;41.99;47.4006;47.40060999999999;23.43;0.0;11.97;51.8283;41.99;47.0175;47.01753083333333;23.43;-16.46;2.99;51.8283;35.0784;43.2467;43.24672416666667;23.43;-23.55;-2.66;51.8283;32.1014;40.8745;40.8745117816092
AWR;2024-02-28;2024-02-28T20:17:33-05:00;2024-02-29 09:30;71.85;72.01;71.85;71.21;1.3;-2.27;-0.44;72.784;70.219;71.5312;71.53125;1.3;-2.27;-0.31;72.784;70.219;71.6267;71.62666666666667;1.49;-2.27;-0.24;72.9206;70.219;71.6797;71.6796875;1.49;-2.27;-0.25;72.9206;70.219;71.6702;71.67020833333333;3.55;-2.27;0.07;74.4007;70.219;71.9008;71.90078125;3.55;-2.27;0.4;74.4007;70.219;72.1392;72.13920454545455;3.55;-2.34;-0.01;74.4007;70.1687;71.8429;71.84291666666667;3.55;-5.25;-0.87;74.4007;68.0779;71.2264;71.22635833333334;10.56;-8.1;0.43;79.4374;66.0301;72.1585;72.15845125;10.56;-8.1;0.3;79.4374;66.0301;72.0636;72.06359942528738
STGW;2024-02-28;2024-02-28T19:48:08-05:00;2024-02-29 09:30;5.2;5.25;;5.1466666666666665;8.65;-1.15;2.98;5.6498;5.1402;5.355;5.355;8.65;-1.15;4.12;5.6498;5.1402;5.4142;5.414166666666667;9.42;-1.15;4.27;5.6898;5.1402;5.4219;5.421875;9.42;-1.15;4.23;5.6898;5.1402;5.4201;5.420075;10.96;-1.15;5.14;5.7699;5.1402;5.4673;5.467321875;15.19;-1.15;6.98;5.9899;5.1402;5.5631;5.563052272727273;18.27;-1.15;8.42;6.15;5.1402;5.6378;5.637808333333333;19.9;-1.15;10.42;6.2348;5.1402;5.7416;5.7416125;39.42;-1.15;17.06;7.2498;5.1402;6.0873;6.087342500000001;39.42;-1.15;20.93;7.2498;5.1402;6.2883;6.288348275862069
OVLY;2024-02-28;2024-02-28T12:32:41-05:00;2024-02-28 12:47;24.25;24.25;24.25;24.601166203887345;3.63;-1.94;0.94;25.1303;23.7796;24.4775;24.4775;3.63;-1.94;1.42;25.1303;23.7796;24.5933;24.593333333333334;4.54;-3.3;1.23;25.351;23.4497;24.5494;24.549375;4.54;-5.53;-0.22;25.351;22.909;24.1963;24.1963375;4.54;-5.53;-0.26;25.351;22.909;24.1874;24.187412499999997;4.54;-5.53;0.19;25.351;22.909;24.2965;24.29652727272727;4.54;-5.53;-0.44;25.351;22.909;24.1423;24.14228666666667;4.54;-5.53;-1.17;25.351;22.909;23.9654;23.965370833333335;4.54;-5.53;-1.01;25.351;22.909;24.0041;24.0041475;4.54;-5.53;-1.36;25.351;22.909;23.9202;23.92021136363637
NHI;2024-02-28;2024-02-28T18:20:46-05:00;2024-02-29 09:30;59.2;58.74;58.83;58.6882;0.48;-4.22;-2.18;59.4842;56.7018;57.91;57.91;0.48;-4.22;-2.08;59.4842;56.7018;57.9683;57.968333333333334;0.48;-4.22;-2.03;59.4842;56.7018;57.9984;57.9984375;0.48;-4.22;-1.86;59.4842;56.7018;58.0994;58.099375;0.48;-4.22;-1.58;59.4842;56.7018;58.267;58.267031249999995;2.03;-4.22;-0.97;60.4018;56.7018;58.626;58.626020454545454;3.82;-4.22;-0.16;61.4614;56.7018;59.1031;59.10308166666667;6.3;-4.22;1.33;62.9296;56.7018;59.9885;59.98849250000001;13.94;-4.22;4.39;67.4525;56.7018;61.8;61.800041666666694;16.31;-4.22;6.78;68.8555;56.7018;63.2166;63.216640517241395
ENPH;2024-02-28;2024-02-28T18:16:26-05:00;2024-02-29 09:30;123.694;120.49;120.08;120.5385;5.84;-0.5;2.55;130.9177;123.0755;126.848;126.848;5.98;-0.5;2.62;131.0909;123.0755;126.9387;126.93865833333332;5.98;-2.7;1.93;131.0909;120.3543;126.0794;126.07936874999999;6.07;-2.7;2.23;131.2022;120.3543;126.4537;126.45374583333331;9.46;-2.7;3.15;135.3955;120.3543;127.5871;127.58712187499998;9.46;-11.63;1.19;135.3955;109.3084;125.1701;125.17006363636364;9.46;-13.91;-2.1;135.3955;106.4882;121.093;121.093045;9.46;-13.91;-3.95;135.3955;106.4882;118.8109;118.8109041666667;9.46;-20.45;-6.46;135.3955;98.3986;115.7049;115.70493958333334;14.5;-23.03;-5.65;141.6296;95.2073;116.6995;116.6995077586207
MDV;2024-02-28;2024-02-28T18:08:52-05:00;2024-02-29 09:30;15.07;15.07;15.07;14.63;2.85;-1.79;1.32;15.4995;14.8002;15.2685;15.268487499999999;6.17;-1.79;1.71;15.9998;14.8002;15.3282;15.328158333333334;6.17;-2.12;1.09;15.9998;14.7505;15.2346;15.23464375;6.17;-6.1;0.04;15.9998;14.1507;15.0762;15.076220833333332;6.17;-6.57;-0.8;15.9998;14.0799;14.9487;14.948728125;6.17;-6.57;-0.56;15.9998;14.0799;14.985;14.984986363636365;11.94;-6.57;1.69;16.8694;14.0799;15.3253;15.325325000000001;16.06;-6.57;4.06;17.4902;14.0799;15.6812;15.681217499999999;16.06;-6.57;2.63;17.4902;14.0799;15.4661;15.466105416666673;16.06;-9.16;1.21;17.4902;13.6896;15.2529;15.252929885057483
NOVA;2024-02-28;2024-02-28T17:35:23-05:00;2024-02-29 09:30;6.8;6.75;6.57;6.92;11.32;-1.03;5.15;7.5698;6.73;7.15;7.15;11.32;-1.03;4.56;7.5698;6.73;7.11;7.109999999999999;11.32;-9.71;2.22;7.5698;6.1397;6.9512;6.95125;11.32;-17.28;-2.07;7.5698;5.625;6.659;6.658995833333333;11.32;-23.09;-6.35;7.5698;5.2299;6.3682;6.368153125;11.32;-44.12;-12.85;7.5698;3.7998;5.9262;5.92615681818182;11.32;-44.12;-18.64;7.5698;3.7998;5.5327;5.532681666666667;11.32;-44.12;-19.99;7.5698;3.7998;5.4405;5.440461666666667;11.32;-50.44;-28.92;7.5698;3.3701;4.8336;4.833619583333333;11.32;-50.44;-26.66;7.5698;3.3701;4.987;4.987024712643677
